0,10,-0.412114,-5.22861
1,10.0926,-0.412623,-5.22393
2,10.1861,-0.412415,-5.29553
3,10.2804,-0.413414,-5.34248
4,10.3757,-0.399036,-5.47084
5,10.4718,-0.411522,-5.43812
6,10.5688,-0.411271,-5.50014
7,10.6666,-0.412827,-5.56547
8,10.7654,-0.406059,-5.67006
9,10.8652,-0.406644,-5.65024
10,10.9658,-0.411621,-5.68628
11,11.0674,-0.415815,-5.76611
12,11.1699,-0.411028,-5.8045
13,11.2733,-0.41079,-5.85418
14,11.3777,-0.410366,-5.92839
15,11.4831,-0.414878,-5.99267
16,11.5895,-0.410374,-6.01399
17,11.6968,-0.410848,-6.05523
18,11.8052,-0.409792,-6.11347
19,11.9145,-0.41101,-6.18055
20,12.0249,-0.412584,-6.23619
21,12.1362,-0.412818,-6.26272
22,12.2486,-0.410797,-6.38778
23,12.3621,-0.413865,-6.43984
24,12.4766,-0.416344,-6.49024
25,12.5922,-0.408123,-6.54851
26,12.7088,-0.413764,-6.59274
27,12.8265,-0.410018,-6.63479
28,12.9453,-0.413326,-6.74363
29,13.0652,-0.41388,-6.77559
30,13.1862,-0.410318,-6.87321
31,13.3083,-0.411792,-6.95664
32,13.4316,-0.408748,-6.97528
33,13.556,-0.410817,-7.0355
34,13.6816,-0.41296,-7.09146
35,13.8083,-0.409264,-7.12749
36,13.9362,-0.414575,-7.22646
37,14.0653,-0.413546,-7.31261
38,14.1955,-0.411805,-7.35623
39,14.327,-0.41106,-7.43941
40,14.4597,-0.41048,-7.5146
41,14.5937,-0.412093,-7.58296
42,14.7288,-0.41268,-7.65582
43,14.8652,-0.414746,-7.69099
44,15.0029,-0.411511,-7.7725
45,15.1419,-0.413358,-7.86572
46,15.2821,-0.415393,-7.90431
47,15.4237,-0.412516,-7.99628
48,15.5665,-0.418127,-8.09404
49,15.7107,-0.41785,-8.14082
50,15.8562,-0.412861,-8.22171
51,16.0031,-0.417125,-8.28774
52,16.1513,-0.414911,-8.39119
53,16.3009,-0.414486,-8.4333
54,16.4519,-0.421019,-8.5494
55,16.6043,-0.418043,-8.61969
56,16.7581,-0.420184,-8.67318
57,16.9133,-0.41853,-8.77792
58,17.0699,-0.423113,-8.81399
